dtt,rainsum,hidroyear
2024-02-27,239.96,2017
2024-03-04,275.96000000000004,2017
2024-03-09,287.96000000000004,2017
2024-03-14,303.16,2017
2024-03-19,323.56,2017
2024-03-24,325.76,2017
2024-03-29,327.15999999999997,2017
2024-04-03,341.15999999999997,2017
2024-04-08,351.55999999999995,2017
2024-04-13,358.35999999999996,2017
2024-04-18,358.35999999999996,2017
2024-04-23,358.35999999999996,2017
2024-04-28,363.96,2017
2024-05-03,366.15999999999997,2017
2024-05-08,367.96,2017
2024-05-13,373.15999999999997,2017
2024-05-18,373.15999999999997,2017
2024-05-23,373.15999999999997,2017
2024-05-28,373.35999999999996,2017
2024-06-02,379.75999999999993,2017
2024-06-07,385.1599999999999,2017
2024-06-12,386.1599999999999,2017
2024-06-17,386.1599999999999,2017
2024-06-22,386.1599999999999,2017
2024-06-27,386.1599999999999,2017
2024-07-02,393.75999999999993,2017
2024-07-07,401.75999999999993,2017
2024-07-12,418.35999999999996,2017
2024-07-17,418.75999999999993,2017
2024-07-22,427.75999999999993,2017
2024-07-27,427.75999999999993,2017
2024-08-01,431.55999999999995,2017
2024-08-06,455.15999999999997,2017
2024-08-11,455.35999999999996,2017
2024-08-16,455.35999999999996,2017
2024-08-21,467.35999999999996,2017
2024-08-26,467.35999999999996,2017
2024-08-31,467.35999999999996,2017
2023-09-05,0.8,2018
2023-09-10,3.4000000000000004,2018
2023-09-15,3.4000000000000004,2018
2023-09-20,4.2,2018
2023-09-25,7.800000000000001,2018
2023-09-30,7.800000000000001,2018
2023-10-05,26.6,2018
2023-10-10,42.400000000000006,2018
2023-10-15,55.00000000000001,2018
2023-10-20,67.80000000000001,2018
2023-10-25,89.4,2018
2023-10-30,92.2,2018
2023-11-04,101.2,2018
2023-11-09,101.4,2018
2023-11-14,103.60000000000001,2018
2023-11-19,104.4,2018
2023-11-24,109.4,2018
2023-11-29,113.2,2018
2023-12-04,138.6,2018
2023-12-09,139.6,2018
2023-12-14,146.2,2018
2023-12-19,198.2,2018
2023-12-24,208.6,2018
2023-12-29,222.2,2018
2024-01-03,228.2,2018
2024-01-08,238.6,2018
2024-01-13,240.6,2018
2024-01-18,246.79999999999998,2018
2024-01-23,264.2,2018
2024-01-28,277.0,2018
2024-02-02,308.8,2018
2024-02-07,312.6,2018
2024-02-12,347.6,2018
2024-02-17,385.8,2018
2024-02-22,386.2,2018
2024-02-27,386.2,2018
2024-03-04,402.59999999999997,2018
2024-03-09,402.99999999999994,2018
2024-03-14,409.3999999999999,2018
2024-03-19,420.19999999999993,2018
2024-03-24,420.99999999999994,2018
2024-03-29,423.3999999999999,2018
2024-04-03,427.19999999999993,2018
2024-04-08,427.19999999999993,2018
2024-04-13,441.79999999999995,2018
2024-04-18,441.79999999999995,2018
2024-04-23,449.59999999999997,2018
2024-04-28,459.2,2018
2024-05-03,473.4,2018
2024-05-08,473.4,2018
2024-05-13,491.0,2018
2024-05-18,491.0,2018
2024-05-23,491.0,2018
2024-05-28,491.0,2018
2024-06-02,494.2,2018
2024-06-07,498.4,2018
2024-06-12,522.8,2018
2024-06-17,523.5999999999999,2018
2024-06-22,523.5999999999999,2018
2024-06-27,523.5999999999999,2018
2024-07-02,523.9999999999999,2018
2024-07-07,529.7999999999998,2018
2024-07-12,535.1999999999998,2018
2024-07-17,543.1999999999998,2018
2024-07-22,549.1999999999998,2018
2024-07-27,549.1999999999998,2018
2024-08-01,549.1999999999998,2018
2024-08-06,550.7999999999998,2018
2024-08-11,554.3999999999999,2018
2024-08-16,554.5999999999999,2018
2024-08-21,554.5999999999999,2018
2024-08-26,554.5999999999999,2018
2024-08-31,554.5999999999999,2018
2023-09-05,2.0,2019
2023-09-10,2.2,2019
2023-09-15,3.6,2019
2023-09-20,3.6,2019
2023-09-25,3.6,2019
2023-09-30,3.6,2019
2023-10-05,15.799999999999999,2019
2023-10-10,15.799999999999999,2019
2023-10-15,27.799999999999997,2019
2023-10-20,34.199999999999996,2019
2023-10-25,34.4,2019
2023-10-30,34.4,2019
2023-11-04,46.0,2019
2023-11-09,49.0,2019
2023-11-14,58.2,2019
2023-11-19,62.0,2019
2023-11-24,73.8,2019
2023-11-29,81.6,2019
2023-12-04,90.39999999999999,2019
2023-12-09,101.6,2019
2023-12-14,114.19999999999999,2019
2023-12-19,123.39999999999999,2019
2023-12-24,127.39999999999999,2019
2023-12-29,140.6,2019
2024-01-03,150.79999999999998,2019
2024-01-08,153.39999999999998,2019
2024-01-13,168.39999999999998,2019
2024-01-18,170.39999999999998,2019
2024-01-23,179.2,2019
2024-01-28,184.79999999999998,2019
2024-02-02,200.99999999999997,2019
2024-02-07,201.99999999999997,2019
2024-02-12,202.19999999999996,2019
2024-02-17,225.19999999999996,2019
2024-02-22,244.79999999999995,2019
2024-02-27,259.19999999999993,2019
2024-03-04,264.99999999999994,2019
2024-03-09,266.3999999999999,2019
2024-03-14,281.5999999999999,2019
2024-03-19,289.9999999999999,2019
2024-03-24,293.39999999999986,2019
2024-03-29,297.1999999999999,2019
2024-04-03,345.1999999999999,2019
2024-04-08,345.7999999999999,2019
2024-04-13,345.9999999999999,2019
2024-04-18,354.7999999999999,2019
2024-04-23,357.5999999999999,2019
2024-04-28,357.5999999999999,2019
2024-05-03,365.5999999999999,2019
2024-05-08,366.3999999999999,2019
2024-05-13,368.7999999999999,2019
2024-05-18,368.7999999999999,2019
2024-05-23,368.7999999999999,2019
2024-05-28,368.7999999999999,2019
2024-06-02,368.7999999999999,2019
2024-06-07,369.9999999999999,2019
2024-06-12,370.5999999999999,2019
2024-06-17,370.7999999999999,2019
2024-06-22,370.7999999999999,2019
2024-06-27,370.7999999999999,2019
2024-07-02,379.5999999999999,2019
2024-07-07,380.3999999999999,2019
2024-07-12,382.7999999999999,2019
2024-07-17,382.7999999999999,2019
2024-07-22,382.7999999999999,2019
2024-07-27,382.7999999999999,2019
2024-08-01,382.7999999999999,2019
2024-08-06,397.7999999999999,2019
2024-08-11,397.7999999999999,2019
2024-08-16,397.7999999999999,2019
2024-08-21,400.1999999999999,2019
2024-08-26,400.1999999999999,2019
2024-08-31,400.1999999999999,2019
2023-09-05,9.2,2020
2023-09-10,9.2,2020
2023-09-15,18.6,2020
2023-09-20,26.400000000000002,2020
2023-09-25,26.400000000000002,2020
2023-09-30,41.0,2020
2023-10-05,43.6,2020
2023-10-10,43.6,2020
2023-10-15,43.6,2020
2023-10-20,53.0,2020
2023-10-25,56.4,2020
2023-10-30,56.4,2020
2023-11-04,72.4,2020
2023-11-09,74.2,2020
2023-11-14,74.4,2020
2023-11-19,75.0,2020
2023-11-24,75.8,2020
2023-11-29,80.0,2020
2023-12-04,97.6,2020
2023-12-09,97.8,2020
2023-12-14,99.39999999999999,2020
2023-12-19,99.8,2020
2023-12-24,107.39999999999999,2020
2023-12-29,130.6,2020
2024-01-03,153.4,2020
2024-01-08,153.6,2020
2024-01-13,162.4,2020
2024-01-18,181.8,2020
2024-01-23,183.20000000000002,2020
2024-01-28,193.4,2020
2024-02-02,196.8,2020
2024-02-07,211.60000000000002,2020
2024-02-12,213.40000000000003,2020
2024-02-17,231.80000000000004,2020
2024-02-22,246.80000000000004,2020
2024-02-27,247.40000000000003,2020
2024-03-04,273.20000000000005,2020
2024-03-09,275.6,2020
2024-03-14,297.8,2020
2024-03-19,309.40000000000003,2020
