date,rainacum,last_point
2023-11-26,86.5,2025-02-03 14:15:00
2023-11-27,88.1,2025-02-03 14:15:00
2023-11-28,89.69999999999999,2025-02-03 14:15:00
2023-11-29,90.69999999999999,2025-02-03 14:15:00
2023-11-30,104.49999999999999,2025-02-03 14:15:00
2023-12-01,104.69999999999999,2025-02-03 14:15:00
2023-12-02,112.29999999999998,2025-02-03 14:15:00
2023-12-03,123.89999999999998,2025-02-03 14:15:00
2023-12-04,123.89999999999998,2025-02-03 14:15:00
2023-12-05,126.49999999999997,2025-02-03 14:15:00
2023-12-06,126.49999999999997,2025-02-03 14:15:00
2023-12-07,126.49999999999997,2025-02-03 14:15:00
2023-12-08,128.69999999999996,2025-02-03 14:15:00
2023-12-09,131.09999999999997,2025-02-03 14:15:00
2023-12-10,131.09999999999997,2025-02-03 14:15:00
2023-12-11,131.09999999999997,2025-02-03 14:15:00
2023-12-12,131.09999999999997,2025-02-03 14:15:00
2023-12-13,131.09999999999997,2025-02-03 14:15:00
2023-12-14,131.09999999999997,2025-02-03 14:15:00
2023-12-15,131.09999999999997,2025-02-03 14:15:00
2023-12-16,131.09999999999997,2025-02-03 14:15:00
2023-12-17,131.09999999999997,2025-02-03 14:15:00
2023-12-18,131.89999999999998,2025-02-03 14:15:00
2023-12-19,132.29999999999998,2025-02-03 14:15:00
2023-12-20,132.49999999999997,2025-02-03 14:15:00
2023-12-21,132.49999999999997,2025-02-03 14:15:00
2023-12-22,132.49999999999997,2025-02-03 14:15:00
2023-12-23,132.49999999999997,2025-02-03 14:15:00
2023-12-24,132.49999999999997,2025-02-03 14:15:00
2023-12-25,132.49999999999997,2025-02-03 14:15:00
2023-12-26,132.49999999999997,2025-02-03 14:15:00
2023-12-27,132.49999999999997,2025-02-03 14:15:00
2023-12-28,132.49999999999997,2025-02-03 14:15:00
2023-12-29,132.49999999999997,2025-02-03 14:15:00
2023-12-30,132.49999999999997,2025-02-03 14:15:00
2023-12-31,132.49999999999997,2025-02-03 14:15:00
2024-01-01,133.49999999999997,2025-02-03 14:15:00
2024-01-02,136.89999999999998,2025-02-03 14:15:00
2024-01-03,137.49999999999997,2025-02-03 14:15:00
2024-01-04,137.69999999999996,2025-02-03 14:15:00
2024-01-05,143.89999999999995,2025-02-03 14:15:00
2024-01-06,148.09999999999994,2025-02-03 14:15:00
2024-01-07,166.49999999999994,2025-02-03 14:15:00
2024-01-08,171.89999999999995,2025-02-03 14:15:00
2024-01-09,178.29999999999995,2025-02-03 14:15:00
2024-01-10,194.29999999999995,2025-02-03 14:15:00
2024-01-11,208.69999999999996,2025-02-03 14:15:00
2024-01-12,209.29999999999995,2025-02-03 14:15:00
2024-01-13,209.49999999999994,2025-02-03 14:15:00
2024-01-14,209.69999999999993,2025-02-03 14:15:00
2024-01-15,209.69999999999993,2025-02-03 14:15:00
2024-01-16,209.69999999999993,2025-02-03 14:15:00
2024-01-17,209.69999999999993,2025-02-03 14:15:00
2024-01-18,213.69999999999993,2025-02-03 14:15:00
2024-01-19,218.49999999999994,2025-02-03 14:15:00
2024-01-20,221.29999999999995,2025-02-03 14:15:00
2024-01-21,222.09999999999997,2025-02-03 14:15:00
2024-01-22,230.69999999999996,2025-02-03 14:15:00
2024-01-23,245.09999999999997,2025-02-03 14:15:00
2024-01-24,245.09999999999997,2025-02-03 14:15:00
2024-01-25,257.29999999999995,2025-02-03 14:15:00
2024-01-26,265.29999999999995,2025-02-03 14:15:00
2024-01-27,268.09999999999997,2025-02-03 14:15:00
2024-01-28,269.49999999999994,2025-02-03 14:15:00
2024-01-29,271.49999999999994,2025-02-03 14:15:00
2024-01-30,272.49999999999994,2025-02-03 14:15:00
2024-01-31,276.69999999999993,2025-02-03 14:15:00
2024-02-01,276.69999999999993,2025-02-03 14:15:00
2024-02-02,276.69999999999993,2025-02-03 14:15:00
2024-02-03,276.69999999999993,2025-02-03 14:15:00
